"Institutional_sector_name","Institutional_sector_code","Descriptor","SNA08TRANS9","Asset_liability_code","Status","Values"
"Corporate business enterprises","211","Capital Account Opening balances Produced non-financial assets","LS00000","AN10000","REVISED","243315"
"Corporate business enterprises","141","Capital Account Opening balances Produced non-financial assets","LS00000","AN10000","REVISED","262596"
"Corporate business enterprises","141","Capital Account Opening balances Produced non-financial assets","LS00000","AN10000","REVISED","267100"
"Corporate business enterprises","141","Capital Account Opening balances Produced non-financial assets","LS00000","AN10000","REVISED","273639"
"Corporate business enterprises","141","Capital Account Opening balances Produced non-financial assets","LS00000","AN10000","REVISED","285309"
"Corporate business enterprises","141","Capital Account Opening balances Produced non-financial assets","LS00000","AN10000","REVISED","296896"
"Corporate business enterprises","141","Capital Account Opening balances Produced non-financial assets","LS00000","AN10000","REVISED","311332"
"Corporate business enterprises","141","Capital Account Opening balances Produced non-financial assets","LS00000","AN10000","FINAL","331983"
"Corporate business enterprises","141","Capital Account Opening balances Non-produced non-financial assets","LS00000","AN20000","FINAL","135478"
"Corporate business enterprises","141","Capital Account Opening balances Non-produced non-financial assets","LS00000","AN20000","FINAL","143787"
"Corporate business enterprises","141","Capital Account Opening balances Non-produced non-financial assets","LS00000","AN20000","FINAL","141630"
"Corporate business enterprises","141","Capital Account Opening balances Non-produced non-financial assets","LS00000","AN20000","FINAL","145450"
"Corporate business enterprises","141","Capital Account Opening balances Non-produced non-financial assets","LS00000","AN20000","FINAL","138599"
"Corporate business enterprises","141","Capital Account Opening balances Non-produced non-financial assets","LS00000","AN20000","FINAL","137405"
"Corporate business enterprises","141","Capital Account Opening balances Non-produced non-financial assets","LS00000","AN20000","FINAL","144660"
"Corporate business enterprises","141","Capital Account Opening balances Non-produced non-financial assets","LS00000","AN20000","REVISED","154157"
"Corporate business enterprises","141","Capital Account Opening balances Non-produced non-financial assets","LS00000","AN20000","REVISED","170682"
"Corporate business enterprises","141","Capital Account Opening balances Non-produced non-financial assets","LS00000","AN20000","FINAL","158806"
"Corporate business enterprises","141","Capital Account Opening balances Total non-financial assets","LS00000","AN00000","REVISED","361022"
"Corporate business enterprises","141","Capital Account Opening balances Total non-financial assets","LS00000","AN00000","REVISED","387102"
"Corporate business enterprises","141","Capital Account Opening balances Total non-financial assets","LS00000","AN00000","REVISED","401011"
"Corporate business enterprises","141","Capital Account Opening balances Total non-financial assets","LS00000","AN00000","REVISED","408046"
"Corporate business enterprises","141","Capital Account Opening balances Total non-financial assets","LS00000","AN00000","REVISED","405699"
"Corporate business enterprises","141","Capital Account Opening balances Total non-financial assets","LS00000","AN00000","REVISED","411044"
"Corporate business enterprises","141","Capital Account Opening balances Total non-financial assets","LS00000","AN00000","REVISED","429969"
"Corporate business enterprises","141","Capital Account Opening balances Total non-financial assets","LS00000","AN00000","REVISED","451053"
"Corporate business enterprises","141","Capital Account Opening balances Total non-financial assets","LS00000","AN00000","REVISED","482014"
"Corporate business enterprises","141","Capital Account Opening balances Total non-financial assets","LS00000","AN00000","FINAL","490789"
"Corporate business enterprises","141","Capital Account Net transactions in produced non-financial assets Gross fixed capital formation","P051G00","AN10000","FINAL","19922"
"Corporate business enterprises","141","Capital Account Net transactions in produced non-financial assets Gross fixed capital formation","P051G00","AN10000","FINAL","22117"
"Corporate business enterprises","141","Capital Account Net transactions in produced non-financial assets Gross fixed capital formation","P051G00","AN10000","FINAL","17916"
"Corporate business enterprises","141","Capital Account Net transactions in produced non-financial assets Gross fixed capital formation","P051G00","AN10000","FINAL","18722"
"Corporate business enterprises","141","Capital Account Net transactions in produced non-financial assets Gross fixed capital formation","P051G00","AN10000","FINAL","22139"
"Corporate business enterprises","141","Capital Account Net transactions in produced non-financial assets Gross fixed capital formation","P051G00","AN10000","FINAL","21562"
"Corporate business enterprises","141","Capital Account Net transactions in produced non-financial assets Gross fixed capital formation","P051G00","AN10000","FINAL","23240"
"Corporate business enterprises","141","Capital Account Net transactions in produced non-financial assets Gross fixed capital formation","P051G00","AN10000","REVISED","25056"
"Corporate business enterprises","141","Capital Account Net transactions in produced non-financial assets Gross fixed capital formation","P051G00","AN10000","REVISED","26237"
"Corporate business enterprises","141","Capital Account Net transactions in produced non-financial assets Gross fixed capital formation","P051G00","AN10000","FINAL","26962"
"Corporate business enterprises","141","Capital Account Net transactions in produced non-financial assets Consumption of fixed capital","P051C00","AN10000","FINAL","-14407"
"Corporate business enterprises","141","Capital Account Net transactions in produced non-financial assets Consumption of fixed capital","P051C00","AN10000","FINAL","-16171"
"Corporate business enterprises","141","Capital Account Net transactions in produced non-financial assets Consumption of fixed capital","P051C00","AN10000","FINAL","-17160"
"Corporate business enterprises","141","Capital Account Net transactions in produced non-financial assets Consumption of fixed capital","P051C00","AN10000","FINAL","-17061"
"Corporate business enterprises","141","Capital Account Net transactions in produced non-financial assets Consumption of fixed capital","P051C00","AN10000","FINAL","-17261"
"Corporate business enterprises","141","Capital Account Net transactions in produced non-financial assets Consumption of fixed capital","P051C00","AN10000","FINAL","-17652"
"Corporate business enterprises","141","Capital Account Net transactions in produced non-financial assets Consumption of fixed capital","P051C00","AN10000","FINAL","-18319"
"Corporate business enterprises","","Capital Account Net transactions in produced non-financial assets Consumption of fixed capital","P051C00","AN10000","FINAL","-18895"
"","123","","","AN10000","REVISED","-2234"
"Corporate business enterprises","141","Capital Account Net transactions in produced non-financial assets Consumption of fixed capital","P051C00","AN10000","FINAL","-17261"
"Corporate business enterprises","141","Capital Account Net transactions in produced non-financial assets Consumption of fixed capital","P051C00","AN10000","FINAL","-17652"
"Corporate business enterprises","141iuyiyui","Capital Account Net transactions in produced non-financial assets Consumption of fixed capital","P051C00","AN10000","FINAL","-18319"
"Corporate business enterprises","655","Capital Account Net transactions in produced non-financial assets Consumption of fixed capital","P051C00","AN10000","FINAL","-18895"
